Site_code,Site,Treatment,Fgroup,Species,Plot,LAImax,LAImin,LMA,Max_BM,Min_BM,BM_Growth,WT,PineBM_change,SpruceBM_change,BirchBM_change
MEC,mes,ctr,Graminoids,CareChor,4,0.008886719,0,148.6032254,1.320595069,0,1.320595069,-10.2,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareChor,5,0.012310345,0,148.6032254,1.829356947,0,1.829356947,-13.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareChor,6,0.001923491,0,148.6032254,0.285837023,0,0.285837023,-5.6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareChor,7,0.011279297,0,148.6032254,1.676139896,0,1.676139896,-6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareChor,8,0.015772629,0,148.6032254,2.343863588,0,2.343863588,-13.6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareLimo,1,0,0,148.6032254,0,0,0,-9.2,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareLimo,2,0,0,148.6032254,0,0,0,-16.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareLimo,3,0,0,148.6032254,0,0,0,-28.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareLimo,4,0,0,148.6032254,0,0,0,-10.2,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareLimo,5,0,0,148.6032254,0,0,0,-13.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareLimo,6,0,0,148.6032254,0,0,0,-5.6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareLimo,7,0,0,148.6032254,0,0,0,-6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareLimo,8,0,0,148.6032254,0,0,0,-13.6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareLivi,1,0.042226999,0,148.6032254,6.275068285,0,6.275068285,-9.2,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareLivi,2,0.003821429,0,148.6032254,0.567876611,0,0.567876611,-16.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareLivi,3,0,0,148.6032254,0,0,0,-28.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareLivi,4,0.0093375,0,148.6032254,1.387582617,0,1.387582617,-10.2,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareLivi,5,0,0,148.6032254,0,0,0,-13.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareLivi,6,0,0,148.6032254,0,0,0,-5.6,3942.784328,na,163.447769
