Site,Control,Treatment
LR,47.0631067961165,57.4271844660194
LK,34.8300970873786,48.0825242718447
RhK,47.4029126213592,56.5776699029126
MkK,40.0970873786408,39.0776699029126
Rä,34.1504854368932,39.247572815534
RaSR,30.2427184466019,36.3592233009709
,,
Mean,38.9644012944984,46.128640776699
n,6,6
SE,2.91212689078567,3.79984106797799
